item_id,timestamp,ATHOME,NOTATHOME,TOTALTRIPS,LESS1mi,1-3mi,3-5mi,5-10mi,10-25mi,25-50mi,50-100mi,100-250mi,250-500mi,MORE500mi,week,month,isHoliday,isWeekend
National,2021-06-04,72018162,256221361,1384932279,371361045,330753774,169245532,214630105,200575055,62870773,21806983,10640481,2007710,1040821,22,6,1,0
National,2021-06-05,75117253,253122270,1260422364,338213699,300180943,154334942,193650929,177440185,59676758,24162794,10191357,1631565,939192,22,6,0,1
National,2021-06-06,78671937,249567586,1145874135,318274841,272567135,137912989,173285663,156149920,51473817,21911415,11193103,1996593,1108659,23,6,0,1
National,2021-06-07,74384544,253854979,1399361277,409760091,333714060,165497419,207731809,193883986,60252100,18758091,7263926,1507313,992482,23,6,0,0
National,2021-06-08,74806436,253433087,1351505592,359183916,322739345,164997540,211610443,201029795,62794494,19288447,7425624,1494892,941096,23,6,0,0
National,2021-06-09,74843541,253395982,1300304204,329855570,309781503,161658196,209010016,198943829,62144235,19151487,7342227,1488176,928965,23,6,0,0
National,2021-06-10,73908535,254330988,1303731829,354767087,307830202,157838976,202239232,191354965,60315183,19131210,7674564,1606766,973644,23,6,0,0
National,2021-06-11,72286891,255952632,1368355261,361183224,325757480,167316499,213813765,200847541,63364717,22228967,10796413,2035534,1011121,23,6,0,0
National,2021-06-12,75250754,252988769,1248010197,327936573,298980906,154344893,193879294,177019890,59069087,23858645,10290243,1700222,930444,23,6,0,1
National,2021-06-13,79127853,249111670,1112042335,300868380,261660644,133549724,170026423,156004649,52174590,22675104,11853553,2121440,1107828,24,6,0,1
National,2021-06-14,75024249,253215274,1296398825,345719508,314398081,158106753,201559992,189297054,58995019,18470430,7308894,1568367,974727,24,6,0,0
National,2021-06-15,73453008,254786515,1377706379,378409116,326079920,167624344,213411309,200549282,62498294,19181256,7441248,1540409,971201,24,6,0,0
National,2021-06-16,75130011,253109512,1318293629,346324433,311528482,161663411,208418990,199082591,62249076,19247409,7342587,1496234,940416,24,6,0,0
National,2021-06-17,74168754,254070769,1380736888,389533438,326157312,165324398,210495351,198280332,61608768,19277452,7542715,1538873,978249,24,6,0,0
National,2021-06-18,72089435,256150088,1387343640,369479808,329966113,169461326,215944493,202609024,63703065,22229709,10857116,2048833,1044153,24,6,0,0
National,2021-06-19,75121222,253118301,1262785294,336106440,300170107,154908788,194994047,178997864,60174731,24428623,10382358,1675997,946339,24,6,0,1
