item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
National,2021-05-08,1315001662.9387755,1183578632.4215968,1227204446.0451941,1258522516.49816,1284877328.1425982,1312827134.9387755,1336003753.8165855,1361964133.4610236,1396742939.9139895,1461410989.6192195
National,2021-05-09,1257116566.0408163,1118449480.0134335,1164683857.8819292,1201888354.4573436,1230611772.1425982,1255783062.0408163,1280231916.0206673,1313366085.7059216,1346410902.2813363,1398088800.1498318
National,2021-05-10,1356503451.5510204,1220704919.9726171,1265555538.1676433,1297167385.600201,1325166683.775251,1354664731.5510204,1376618967.4084225,1409049369.5834727,1448380961.01603,1497513823.1294236
National,2021-05-11,1362098723.7142859,1216575444.0915346,1267346789.3619702,1302914791.209446,1332699816.0493302,1360095779.7142859,1391147555.2976086,1418601892.1374927,1451100581.984969,1504454647.255404
National,2021-05-12,1354608906.3673468,1203143728.2956164,1252992910.6272762,1290208805.3727114,1323294916.2534118,1354681354.3673468,1386554000.4812822,1417403823.3619826,1454885190.1074176,1512445032.3574448
National,2021-05-13,1356820434.6530614,1205767557.6425552,1259014978.0150313,1295642778.0665889,1326474119.3146362,1357158546.6530614,1385991325.991486,1417288839.321166,1455403359.372724,1504720287.6635675
National,2021-05-14,1388694295.2244897,1243008686.7854123,1302995173.9333987,1337116049.576793,1364437117.518718,1391563415.2244897,1421169200.9302616,1445705372.8721867,1478917892.5972137,1532494075.7452
National,2021-05-15,1303289756.9795918,1160774794.744596,1211910963.5252354,1242769129.6176093,1273828826.7840242,1300588380.9795918,1333185567.1751597,1367743376.3415744,1404142146.515581,1458635631.2145877
National,2021-05-16,1255401336.0,1101337949.9282694,1153971133.5660517,1192021700.6380174,1226569570.2125955,1253709688.0,1287529613.7874048,1320799851.3619826,1353203890.4339483,1408853586.0717306
National,2021-05-17,1350298091.22449,1199073652.4180653,1254194135.974215,1289675187.94414,1323441786.008514,1347947563.22449,1377693856.358833,1404418918.423207,1447076034.393132,1507822629.9492817
National,2021-05-18,1367731883.5510204,1209223116.704174,1267768375.0321903,1305344577.2218451,1336725322.8533006,1365270827.5510204,1393975688.3303728,1431877585.9618285,1466582368.0698504,1527322506.3978667
National,2021-05-19,1354621921.8775508,1200037074.704174,1258221649.9301496,1299192452.6096,1328644586.9757495,1352478945.8775508,1383786388.8609853,1417016827.2271347,1453596653.9065852,1506903085.1325607
National,2021-05-20,1357639139.6326532,1205042734.5817251,1261562668.501578,1299597588.7320492,1329469223.5063617,1355222115.6326532,1382861087.7589445,1416545842.533257,1454398362.7637281,1509085084.6019485
National,2021-05-21,1381084679.5510204,1221125212.9490721,1277622267.5219862,1322698117.711641,1357126077.057382,1382712455.5510204,1412734229.963026,1441033993.3903997,1481204435.5800545,1530315890.152969
National,2021-05-22,1299866916.8163266,1139625083.5205007,1197776530.2566803,1244852401.344294,1275842385.1798313,1303476260.8163266,1332914036.5344546,1366495700.3699918,1401998963.4576056,1450024910.1121523
National,2021-05-23,1253186929.4693878,1105062323.2756026,1161106577.8485167,1199216679.7932737,1227472671.1390147,1255250673.4693878,1283045503.8813934,1313298747.145502,1349039693.1718915,1394621927.8264384
National,2021-05-24,1351001991.9591837,1196613901.6837656,1250325290.9505575,1287589578.0381715,1321397972.9757493,1349799303.9591837,1378386231.0242507,1409030917.880196,1446508641.0494425,1507976446.3162344
National,2021-05-25,1356872995.7142859,1197682583.7460067,1249111321.0276692,1291671191.7610598,1326019087.054183,1356906403.7142859,1386324212.4560213,1421463275.7491446,1466494894.4009023,1529633195.7641973
National,2021-05-26,1355208646.4489796,1200529425.9909046,1254345220.9052205,1296245269.924325,1326167008.8092852,1355705606.4489796,1382083952.0070417,1413827706.8920016,1451209867.911106,1518016574.825422
National,2021-05-27,1352251366.244898,1191781735.3378434,1252458432.12971,1286669094.046774,1322190758.4827542,1349598182.244898,1379497641.9254088,1410323238.443022,1450835212.3600857,1520170213.1519525
